Date,Open,High,Low,Close,Volume,Adj Close
2016-10-13,18.40,18.57,18.395,18.57,1593500,18.57
2016-10-12,18.53,18.61,18.41,18.49,857300,18.49
2016-10-11,18.44,18.625,18.365,18.50,3538400,18.50
2016-10-10,18.395,18.50,18.26,18.445,1891400,18.445
2016-10-07,18.77,18.77,18.395,18.395,2609800,18.395
2016-10-06,18.91,18.935,18.76,18.77,1930500,18.77
2016-10-05,18.91,19.00,18.765,18.84,2327500,18.84
2016-10-04,19.05,19.055,18.815,19.035,2346800,19.035
2016-10-03,19.02,19.08,18.92,19.02,878500,19.02
2016-09-30,18.86,19.095,18.64,19.08,2097600,19.08
2016-09-29,19.10,19.345,18.95,19.045,1571900,19.045
2016-09-28,19.00,19.09,18.88,18.985,839700,18.985
2016-09-27,18.95,18.97,18.82,18.935,850100,18.935
2016-09-26,18.85,18.94,18.77,18.93,893800,18.93
2016-09-23,18.98,19.005,18.83,18.945,1039200,18.945
2016-09-22,18.85,19.10,18.78,19.02,1883400,19.02
2016-09-21,18.94,18.97,18.75,18.79,952400,18.79
2016-09-20,18.66,18.92,18.595,18.785,8937300,18.785
2016-09-19,18.615,18.69,18.505,18.645,1057900,18.645
2016-09-16,18.57,18.635,18.405,18.53,4455900,18.53
2016-09-15,18.59,18.79,18.54,18.665,1876300,18.665
2016-09-14,18.685,18.72,18.57,18.60,1500800,18.60
2016-09-13,18.465,18.765,18.41,18.605,2263100,18.605
2016-09-12,18.49,18.50,18.265,18.425,1690000,18.425
2016-09-09,18.67,18.83,18.62,18.64,1411200,18.64
2016-09-08,18.665,18.835,18.63,18.70,1666900,18.70
2016-09-07,18.50,18.735,18.495,18.70,1436400,18.70
2016-09-06,18.75,18.75,18.615,18.67,996900,18.67
2016-09-05,18.64,18.76,18.565,18.695,963100,18.695
2016-09-02,18.22,18.63,18.22,18.63,2460700,18.63
2016-09-01,18.305,18.39,18.085,18.15,1679500,18.15
2016-08-31,18.32,18.41,18.185,18.26,1449400,18.26
2016-08-30,18.44,18.525,18.355,18.37,852700,18.37
2016-08-29,18.40,18.47,18.31,18.425,425800,18.425
2016-08-26,18.32,18.53,18.31,18.44,905500,18.44
2016-08-25,18.305,18.385,18.25,18.295,1055900,18.295
2016-08-24,18.30,18.48,18.265,18.345,1768300,18.345
2016-08-23,18.45,18.47,18.35,18.40,1090700,18.40
2016-08-22,18.29,18.45,18.235,18.325,734500,18.325
2016-08-19,18.47,18.55,18.22,18.31,1867900,18.31
2016-08-18,18.515,18.59,18.40,18.515,1105700,18.515
2016-08-17,18.695,18.695,18.33,18.385,1582700,18.385
2016-08-16,18.715,18.775,18.625,18.675,1244600,18.675
2016-08-15,18.825,18.88,18.76,18.765,469500,18.765
2016-08-12,18.885,18.96,18.73,18.80,837700,18.80
2016-08-11,18.78,18.935,18.73,18.855,1252100,18.855
2016-08-10,18.68,18.83,18.665,18.75,960900,18.75
2016-08-09,18.74,18.83,18.685,18.76,1635000,18.76
2016-08-08,18.875,18.96,18.715,18.82,1660000,18.82
2016-08-05,18.86,19.06,18.86,18.88,3798400,18.88
2016-08-04,18.755,18.96,18.615,18.765,1995100,18.765
2016-08-03,18.70,18.795,18.56,18.56,1539800,18.56
2016-08-02,18.87,18.87,18.575,18.715,2263100,18.715
2016-08-01,18.845,18.985,18.825,18.825,1494100,18.825
2016-07-29,18.80,18.89,18.705,18.795,1797200,18.795
2016-07-28,18.70,18.85,18.60,18.705,2123400,18.705
2016-07-27,18.61,18.62,18.455,18.605,1430000,18.605
2016-07-26,18.59,18.62,18.47,18.595,1269300,18.595
2016-07-25,18.46,18.61,18.415,18.57,1533600,18.57
2016-07-22,18.36,18.47,18.255,18.41,2040500,18.41
2016-07-21,18.35,18.48,18.24,18.43,1409000,18.43
2016-07-20,18.37,18.39,18.22,18.275,1061200,18.275
2016-07-19,18.20,18.275,18.115,18.27,2145600,18.27
2016-07-18,18.305,18.335,18.095,18.24,1520700,18.24
2016-07-15,18.16,18.22,18.07,18.185,1202800,18.185
2016-07-14,18.34,18.40,18.135,18.165,1459100,18.165
2016-07-13,18.05,18.255,18.05,18.20,2127100,18.20
2016-07-12,18.18,18.30,18.02,18.085,2045600,18.085
2016-07-11,18.37,18.40,18.10,18.24,1542400,18.24
2016-07-08,17.895,18.32,17.895,18.26,2629500,18.26
2016-07-07,18.01,18.11,17.915,17.98,1741200,17.98
2016-07-06,17.91,18.08,17.74,17.89,3918200,17.89
2016-07-05,17.99,18.13,17.925,18.085,2601200,18.085
2016-07-04,17.98,18.20,17.905,18.155,6516100,18.155
2016-07-01,18.085,18.12,17.77,17.89,6633400,17.89
2016-06-30,17.60,18.03,17.475,18.03,6378900,17.404
2016-06-29,17.16,17.54,17.125,17.515,2869500,16.907
2016-06-28,16.78,17.045,16.605,16.85,2495700,15.661
2016-06-27,16.885,17.195,16.53,16.98,3746600,15.20
2016-06-24,14.965,16.465,14.69,16.165,3388500,14.47
2016-06-23,17.51,17.815,17.355,17.63,4863400,15.782
2016-06-22,17.68,17.70,17.41,17.44,9043100,15.611
2016-06-21,17.565,17.795,17.535,17.615,8221600,15.768
2016-06-20,17.27,17.62,17.23,17.62,7380500,15.773
2016-06-17,17.185,17.325,17.15,17.26,7683100,15.45
2016-06-16,17.035,17.18,16.94,17.095,2484300,15.303
2016-06-15,17.26,17.77,17.185,17.19,4048900,15.388
2016-06-14,17.42,17.455,17.19,17.235,1429500,15.428
2016-06-13,17.56,17.65,17.475,17.545,1486300,15.705
2016-06-10,18.00,18.015,17.61,17.745,1999500,15.885
2016-06-09,18.285,18.295,17.945,18.065,5631400,16.171
2016-06-08,18.35,18.47,18.305,18.47,973500,16.533
2016-06-07,18.215,18.445,18.11,18.445,1666000,16.511
2016-06-06,18.06,18.27,18.04,18.135,945300,16.234
2016-06-03,18.195,18.31,17.97,18.06,1170600,16.166
2016-06-02,18.20,18.24,18.08,18.19,3560900,16.283
2016-06-01,18.445,18.46,18.10,18.165,1354300,16.26
2016-05-31,18.365,18.48,18.25,18.48,2516900,16.542
2016-05-30,18.325,18.42,18.16,18.39,705700,16.462
2016-05-27,18.30,18.39,18.215,18.32,1494300,16.399
2016-05-26,18.17,18.30,18.15,18.225,1459300,16.314
2016-05-25,18.25,18.325,18.08,18.16,1213100,16.256
2016-05-24,17.875,18.195,17.82,18.15,1628000,16.247
2016-05-23,17.98,17.985,17.825,17.925,1615400,16.046
2016-05-20,17.98,18.115,17.885,17.99,1395200,16.104
2016-05-19,17.89,17.995,17.79,17.875,1313400,16.001
2016-05-18,18.00,18.035,17.925,18.025,1513200,16.135
2016-05-17,18.225,18.235,18.025,18.055,1223200,16.162
2016-05-16,18.15,18.21,18.07,18.15,739600,16.247
2016-05-13,18.205,18.345,18.115,18.275,1112400,16.359
2016-05-12,18.12,18.35,18.025,18.195,1865100,16.287
2016-05-11,18.295,18.355,18.045,18.15,1475500,16.247
2016-05-10,18.57,18.57,18.20,18.31,2245500,16.39
2016-05-09,18.45,18.585,18.305,18.365,895900,16.44
2016-05-06,18.20,18.34,18.15,18.29,814100,16.372
2016-05-05,18.22,18.415,18.22,18.23,1835100,16.319
2016-05-04,18.35,18.43,18.085,18.21,2177400,16.301
2016-05-03,18.40,18.45,18.185,18.335,1750700,16.413
2016-05-02,18.415,18.53,18.295,18.395,2141700,16.466
2016-04-29,18.155,18.385,18.14,18.335,1815400,16.413
2016-04-28,18.08,18.50,17.89,18.30,2542700,16.381
2016-04-27,17.935,18.15,17.865,18.08,3161100,16.184
2016-04-26,17.95,18.035,17.75,17.855,3246200,15.983
2016-04-25,17.835,17.87,17.69,17.825,938100,15.956
2016-04-22,17.665,17.835,17.59,17.795,1336500,15.929
