Date,Open,High,Low,Close,Volume,Adj Close
2016-10-13,4.198,4.201,4.032,4.096,6580800,4.096
2016-10-12,4.18,4.267,4.179,4.205,5265600,4.205
2016-10-11,4.04,4.173,3.951,4.159,20712100,4.159
2016-10-10,4.094,4.094,3.95,4.034,8392900,4.034
2016-10-07,4.298,4.298,4.037,4.064,20628100,4.064
2016-10-06,4.52,4.524,4.31,4.322,10095000,4.322
2016-10-05,4.469,4.558,4.43,4.514,4315500,4.514
2016-10-04,4.578,4.579,4.489,4.503,4522000,4.503
2016-10-03,4.602,4.602,4.53,4.552,3130600,4.552
2016-09-30,4.519,4.629,4.457,4.616,5734400,4.616
2016-09-29,4.686,4.686,4.518,4.559,4725600,4.559
2016-09-28,4.605,4.668,4.574,4.625,4477500,4.625
2016-09-27,4.59,4.619,4.452,4.58,6384700,4.58
2016-09-26,4.681,4.681,4.506,4.548,6528600,4.548
2016-09-23,4.749,4.78,4.67,4.698,2396300,4.698
2016-09-22,4.711,4.78,4.69,4.748,4210300,4.748
2016-09-21,4.69,4.738,4.66,4.682,3575400,4.682
2016-09-20,4.843,4.861,4.66,4.662,18843100,4.662
2016-09-19,4.94,4.944,4.845,4.846,3384700,4.846
2016-09-16,4.908,4.936,4.852,4.887,5829600,4.887
2016-09-15,4.834,4.95,4.832,4.926,5227800,4.926
2016-09-14,4.961,4.971,4.824,4.861,3402600,4.861
2016-09-13,4.968,5.079,4.917,4.917,6221800,4.917
2016-09-12,4.90,4.94,4.781,4.94,5898500,4.94
2016-09-09,4.948,5.08,4.936,4.972,6255000,4.972
2016-09-08,4.836,5.02,4.809,4.981,7659400,4.981
2016-09-07,4.797,4.83,4.69,4.814,4682800,4.814
2016-09-06,4.71,4.817,4.682,4.771,5147200,4.771
2016-09-05,4.688,4.717,4.591,4.685,4837400,4.685
2016-09-02,4.67,4.70,4.573,4.697,3830700,4.697
2016-09-01,4.538,4.695,4.53,4.635,6117900,4.635
2016-08-31,4.573,4.638,4.506,4.512,5215500,4.512
2016-08-30,4.553,4.649,4.553,4.609,2749800,4.609
2016-08-29,4.60,4.612,4.526,4.54,2247700,4.54
2016-08-26,4.606,4.651,4.581,4.597,2188800,4.597
2016-08-25,4.711,4.714,4.604,4.61,3397300,4.61
2016-08-24,4.546,4.74,4.538,4.726,7389100,4.726
2016-08-23,4.558,4.607,4.518,4.581,4106100,4.581
2016-08-22,4.446,4.546,4.425,4.528,3460700,4.528
2016-08-19,4.522,4.555,4.423,4.449,6480400,4.449
2016-08-18,4.499,4.523,4.45,4.522,2987100,4.522
2016-08-17,4.532,4.563,4.448,4.448,4764300,4.448
2016-08-16,4.635,4.635,4.525,4.541,5667800,4.541
2016-08-15,4.716,4.735,4.642,4.651,2001600,4.651
2016-08-12,4.628,4.729,4.61,4.722,3682100,4.722
2016-08-11,4.725,4.725,4.60,4.62,6781300,4.62
2016-08-10,4.77,4.791,4.679,4.682,4086700,4.682
2016-08-09,4.70,4.788,4.684,4.769,2908000,4.769
2016-08-08,4.687,4.77,4.668,4.699,3256200,4.699
2016-08-05,4.602,4.682,4.55,4.658,4516000,4.658
2016-08-04,4.69,4.725,4.599,4.599,3732100,4.599
2016-08-03,4.677,4.72,4.592,4.627,5408200,4.627
2016-08-02,4.737,4.746,4.583,4.645,6265700,4.645
2016-08-01,4.918,4.92,4.635,4.724,7242200,4.724
2016-07-29,4.94,5.02,4.727,4.827,10710500,4.827
2016-07-28,4.953,5.045,4.83,4.836,7572100,4.836
2016-07-27,4.781,5.009,4.78,4.954,9021200,4.954
2016-07-26,4.789,4.80,4.715,4.772,6025800,4.772
2016-07-25,4.844,4.90,4.786,4.809,6593200,4.809
2016-07-22,4.84,4.887,4.782,4.837,5939600,4.837
2016-07-21,5.007,5.007,4.813,4.865,11698800,4.865
2016-07-20,5.04,5.085,4.927,5.034,8140000,5.034
2016-07-19,5.137,5.188,5.025,5.054,6808700,5.054
2016-07-18,5.09,5.278,5.071,5.163,8681700,5.163
2016-07-15,5.01,5.175,4.90,5.069,9354100,5.069
2016-07-14,4.931,5.136,4.888,5.103,8693400,5.103
2016-07-13,4.88,5.043,4.83,4.86,11883200,4.86
2016-07-12,4.617,4.889,4.61,4.869,16557000,4.869
2016-07-11,4.45,4.60,4.382,4.582,6934800,4.582
2016-07-08,4.191,4.42,4.14,4.385,6423200,4.385
2016-07-07,4.17,4.309,4.16,4.217,7365100,4.217
2016-07-06,4.412,4.426,4.033,4.123,11239500,4.123
2016-07-05,4.419,4.555,4.38,4.456,7485800,4.456
2016-07-04,4.53,4.589,4.409,4.474,6040100,4.474
2016-07-01,4.477,4.553,4.367,4.537,8681100,4.537
2016-06-30,4.415,4.546,4.32,4.425,12452400,4.425
2016-06-29,4.297,4.437,4.07,4.366,18859900,4.266
2016-06-28,4.328,4.423,4.20,4.278,15431200,4.082
2016-06-27,5.02,5.075,4.076,4.118,24744100,3.93
2016-06-24,5.20,5.755,4.78,5.018,26084100,4.788
2016-06-23,6.701,6.945,6.646,6.861,11692500,6.547
2016-06-22,6.60,6.70,6.536,6.615,4106500,6.312
2016-06-21,6.60,6.616,6.523,6.542,6805200,6.243
2016-06-20,6.319,6.593,6.291,6.589,5539300,6.288
2016-06-17,5.951,6.15,5.926,6.07,6089500,5.792
2016-06-16,5.907,5.918,5.79,5.873,3738300,5.604
2016-06-15,6.04,6.069,5.989,5.989,4655700,5.715
2016-06-14,6.102,6.152,5.981,5.982,5647100,5.708
2016-06-13,6.225,6.238,6.116,6.185,3062400,5.902
2016-06-10,6.519,6.523,6.287,6.31,4875100,6.021
2016-06-09,6.571,6.587,6.498,6.55,3439600,6.25
2016-06-08,6.661,6.689,6.555,6.568,2615600,6.268
2016-06-07,6.75,6.805,6.685,6.701,2322500,6.394
2016-06-06,6.781,6.782,6.61,6.704,3380500,6.397
2016-06-03,6.938,6.952,6.729,6.781,1901500,6.471
2016-06-02,6.793,6.943,6.77,6.91,2722000,6.594
2016-06-01,7.00,7.00,6.768,6.775,4548400,6.465
2016-05-31,7.154,7.166,7.006,7.025,4650700,6.704
2016-05-30,7.19,7.21,7.161,7.168,1550500,6.84
2016-05-27,7.151,7.172,7.037,7.159,2126700,6.832
2016-05-26,7.206,7.247,7.081,7.151,3590300,6.824
2016-05-25,6.99,7.294,6.958,7.245,6687300,6.914
2016-05-24,6.703,6.97,6.685,6.94,3758500,6.623
2016-05-23,6.70,6.787,6.64,6.745,2746600,6.436
2016-05-20,6.727,6.761,6.62,6.66,4074100,6.355
2016-05-19,6.732,6.848,6.70,6.71,3764700,6.403
2016-05-18,6.607,6.84,6.577,6.816,4562600,6.504
2016-05-17,6.543,6.668,6.521,6.607,3801500,6.305
2016-05-16,6.415,6.495,6.354,6.495,2291200,6.198
2016-05-13,6.495,6.541,6.45,6.457,3493400,6.162
2016-05-12,6.50,6.624,6.458,6.532,2480500,6.233
2016-05-11,6.584,6.61,6.519,6.568,2865700,6.268
2016-05-10,6.56,6.644,6.501,6.582,3789200,6.281
2016-05-09,6.44,6.553,6.412,6.494,2885500,6.197
2016-05-06,6.435,6.499,6.403,6.403,2839100,6.11
2016-05-05,6.435,6.515,6.41,6.486,3105600,6.189
2016-05-04,6.447,6.51,6.423,6.439,4609000,6.144
2016-05-03,6.612,6.633,6.386,6.416,6402600,6.123
2016-05-02,6.74,6.776,6.60,6.623,2370800,6.32
2016-04-29,6.90,6.90,6.632,6.715,9883500,6.408
2016-04-28,7.08,7.11,6.936,7.091,7770800,6.767
2016-04-27,6.924,7.145,6.87,7.145,5811500,6.818
2016-04-26,6.85,6.936,6.817,6.912,9403700,6.596
2016-04-25,6.795,6.846,6.751,6.81,4562100,6.498
2016-04-22,6.723,6.836,6.672,6.747,8949300,6.438
2016-04-21,6.80,6.80,6.667,6.698,4991300,6.392
2016-04-20,6.722,6.795,6.70,6.774,3137900,6.464
2016-04-19,6.814,6.847,6.72,6.737,3216600,6.429
2016-04-18,6.65,6.849,6.619,6.748,3076100,6.439
2016-04-15,6.826,6.828,6.677,6.711,3182400,6.404
2016-04-14,6.831,6.842,6.733,6.828,4405200,6.516
2016-04-13,6.70,6.80,6.655,6.80,4659000,6.489
2016-04-12,6.636,6.665,6.544,6.627,3544700,6.324
2016-04-11,6.50,6.707,6.466,6.631,2984600,6.328
2016-04-08,6.543,6.612,6.484,6.516,4647600,6.218
2016-04-07,6.662,6.67,6.482,6.511,5205100,6.213
2016-04-06,6.882,6.882,6.551,6.627,4944600,6.324
2016-04-05,6.899,6.986,6.824,6.847,2878500,6.534
2016-04-04,6.921,7.06,6.868,6.98,2568900,6.661
2016-04-01,6.90,6.97,6.831,6.884,12251100,6.569
2016-03-31,7.045,7.079,6.967,7.01,4277700,6.689
2016-03-30,7.09,7.13,7.037,7.061,4040400,6.738
2016-03-29,6.958,7.041,6.895,7.041,7910600,6.719
2016-03-28,6.888,6.888,6.888,6.888,000,6.573
2016-03-25,6.888,6.888,6.888,6.888,000,6.573
2016-03-24,6.965,6.97,6.854,6.888,4240200,6.573
2016-03-23,7.014,7.025,6.956,7.00,6034600,6.68
2016-03-22,7.02,7.054,6.72,6.98,11461900,6.661
2016-03-21,7.278,7.289,7.115,7.149,2631700,6.822
2016-03-18,7.09,7.274,7.015,7.248,6032000,6.916
2016-03-17,7.114,7.114,6.886,7.07,6279300,6.747
2016-03-16,6.972,7.08,6.936,7.07,8225700,6.747
2016-03-15,6.956,6.974,6.815,6.898,12265100,6.582
2016-03-14,7.06,7.075,6.914,6.97,6048300,6.651
2016-03-11,6.889,6.979,6.80,6.976,6512000,6.657
2016-03-10,6.915,7.035,6.726,6.726,10957300,6.418
2016-03-09,6.86,7.135,6.85,6.906,5245100,6.59
2016-03-08,6.96,6.961,6.843,6.852,4256300,6.539
2016-03-07,7.045,7.047,6.934,6.983,3238600,6.664
2016-03-04,6.911,7.088,6.883,7.038,4946600,6.716
2016-03-03,7.101,7.122,6.851,6.90,6357100,6.584
2016-03-02,7.152,7.234,7.05,7.086,6793400,6.762
2016-03-01,7.017,7.13,6.953,7.116,10043700,6.79
2016-02-29,6.84,7.065,6.778,7.048,5768200,6.726
2016-02-26,7.15,7.225,6.72,6.84,9428000,6.527
2016-02-25,6.73,7.095,6.73,7.069,4543000,6.746
2016-02-24,7.002,7.032,6.633,6.676,7060000,6.371
2016-02-23,6.86,7.075,6.812,7.034,5170700,6.712
2016-02-22,7.096,7.13,6.875,6.896,4944800,6.581
2016-02-19,6.952,7.047,6.872,7.013,6468200,6.692
2016-02-18,6.827,7.091,6.77,6.993,4895000,6.673
2016-02-17,6.66,6.825,6.621,6.78,9735400,6.47
2016-02-16,6.62,6.76,6.546,6.656,8101700,6.352
2016-02-15,6.43,6.576,6.403,6.531,11289100,6.232
2016-02-12,6.22,6.255,6.095,6.18,7315000,5.897
2016-02-11,6.494,6.494,6.082,6.082,7915200,5.804
2016-02-10,6.255,6.58,6.20,6.529,9014800,6.23
2016-02-09,6.05,6.232,6.009,6.162,10268200,5.88
2016-02-08,6.72,6.72,6.084,6.109,8769600,5.83
2016-02-05,6.723,6.792,6.576,6.59,7237900,6.289
2016-02-04,6.983,7.005,6.568,6.693,10118800,6.387
2016-02-03,7.126,7.136,6.816,6.902,4496700,6.586
2016-02-02,7.30,7.319,7.084,7.116,3757000,6.79
2016-02-01,7.135,7.34,7.084,7.34,5090900,7.004
2016-01-29,7.029,7.074,6.714,7.074,5782300,6.75
2016-01-28,7.21,7.247,6.78,6.881,9332600,6.566
2016-01-27,7.371,7.422,7.218,7.25,8712400,6.918
2016-01-26,7.29,7.49,7.231,7.401,4084200,7.062
2016-01-25,7.435,7.478,7.353,7.387,3751800,7.049
2016-01-22,7.368,7.448,7.284,7.39,4108500,7.052
2016-01-21,7.085,7.244,7.057,7.227,4933700,6.896
2016-01-20,7.17,7.185,7.037,7.08,6616000,6.756
2016-01-19,7.35,7.392,7.254,7.30,4785000,6.966
2016-01-18,7.209,7.413,7.13,7.15,6081100,6.823
2016-01-15,7.51,7.568,7.173,7.204,6617400,6.874
2016-01-14,7.80,7.80,7.425,7.478,8223000,7.136
2016-01-13,8.078,8.102,7.807,7.85,5106900,7.491
2016-01-12,7.883,8.13,7.876,7.95,3715400,7.586
2016-01-11,7.85,7.95,7.785,7.88,3887600,7.52
2016-01-08,7.996,8.096,7.857,7.868,4197200,7.508
2016-01-07,8.001,8.092,7.815,7.922,5302000,7.56
2016-01-06,8.37,8.378,8.163,8.241,2803200,7.864
2016-01-05,8.189,8.37,8.156,8.34,2961900,7.958
2016-01-04,8.147,8.19,8.054,8.096,8533800,7.726
2016-01-01,8.275,8.275,8.275,8.275,000,7.896
2015-12-31,8.30,8.334,8.24,8.275,1055500,7.896
2015-12-30,8.276,8.378,8.241,8.339,2117200,7.958
2015-12-29,8.223,8.275,8.204,8.265,3888800,7.887
2015-12-28,8.17,8.272,8.125,8.132,2990800,7.76
2015-12-25,8.22,8.22,8.22,8.22,000,7.844
2015-12-24,8.194,8.23,8.141,8.22,1789400,7.844
2015-12-23,8.10,8.18,8.034,8.16,2620100,7.787
2015-12-22,8.166,8.202,7.99,8.01,2885600,7.644
2015-12-21,7.96,8.195,7.906,8.06,5500800,7.691
2015-12-18,8.145,8.225,8.03,8.08,6278800,7.71
2015-12-17,8.213,8.378,8.186,8.247,7589500,7.87
2015-12-16,8.152,8.154,8.024,8.035,6704200,7.667
2015-12-15,7.827,8.047,7.77,8.02,4884700,7.653
2015-12-14,7.883,8.028,7.752,7.764,6422800,7.409
2015-12-11,7.926,7.987,7.832,7.832,15728500,7.474
2015-12-10,7.90,8.066,7.822,7.951,13244000,7.587
2015-12-09,8.049,8.069,7.915,7.931,20868000,7.568
2015-12-08,8.198,8.311,7.985,8.066,26922900,7.697
2015-12-07,8.114,8.265,8.101,8.155,5066900,7.782
2015-12-04,7.99,8.15,7.89,8.109,14388700,7.643
2015-12-03,8.297,8.37,7.954,7.985,8196200,7.526
2015-12-02,8.25,8.39,8.21,8.283,22468600,7.807
2015-12-01,8.151,8.247,8.132,8.20,20251500,7.728
2015-11-30,8.028,8.238,8.01,8.067,8274300,7.603
2015-11-27,8.041,8.116,7.95,8.03,4017300,7.568
2015-11-26,7.879,8.139,7.84,8.08,7043900,7.615
2015-11-25,7.80,7.94,7.729,7.87,18914600,7.417
2015-11-24,8.063,8.063,7.694,7.803,14946800,7.354
2015-11-23,8.213,8.236,8.062,8.095,5525300,7.629
2015-11-20,8.359,8.359,8.215,8.23,3217200,7.757
2015-11-19,8.30,8.356,8.22,8.321,5806300,7.842
2015-11-18,8.358,8.39,8.174,8.19,7303500,7.719
2015-11-17,8.27,8.468,8.248,8.453,5591000,7.967
2015-11-16,8.228,8.237,7.998,8.175,6285600,7.705
2015-11-13,8.431,8.508,8.321,8.393,4121100,7.91
2015-11-12,8.573,8.573,8.266,8.423,7263700,7.939
2015-11-11,8.557,8.72,8.557,8.694,8551700,8.194
2015-11-10,8.431,8.572,8.365,8.565,5506400,8.072
2015-11-09,8.465,8.53,8.325,8.374,3899200,7.892
2015-11-06,8.296,8.493,8.263,8.439,7833900,7.954
2015-11-05,8.19,8.306,8.093,8.15,2948700,7.681
2015-11-04,8.278,8.319,8.19,8.201,4651900,7.729
2015-11-03,8.251,8.294,8.172,8.212,4413300,7.74
2015-11-02,8.021,8.256,7.957,8.22,4446500,7.747
2015-10-30,8.34,8.34,7.907,8.15,8378600,7.681
2015-10-29,8.54,8.629,8.26,8.326,4094200,7.847
2015-10-28,8.50,8.54,8.401,8.444,3454200,7.958
2015-10-27,8.45,8.516,8.384,8.477,6403300,7.989
2015-10-26,8.321,8.509,8.285,8.464,8470200,7.977
2015-10-23,8.195,8.366,8.165,8.33,5485100,7.851
2015-10-22,8.101,8.171,7.95,8.126,5794900,7.659
2015-10-21,8.157,8.157,7.908,8.094,6626400,7.628
2015-10-20,8.26,8.278,8.081,8.09,4069300,7.625
2015-10-19,8.072,8.259,8.06,8.245,3844900,7.771
2015-10-16,7.99,8.098,7.959,8.098,4999700,7.632
2015-10-15,7.845,7.96,7.738,7.95,12392000,7.493
2015-10-14,7.72,7.84,7.618,7.783,7072700,7.335
2015-10-13,7.725,7.785,7.632,7.721,6244100,7.277
2015-10-12,7.602,7.748,7.596,7.681,2855500,7.239
2015-10-09,7.61,7.635,7.48,7.576,7530200,7.14
2015-10-08,7.562,7.648,7.486,7.568,11693200,7.133
2015-10-07,7.939,7.939,7.55,7.55,10774000,7.116
2015-10-06,7.951,8.12,7.894,7.928,3827000,7.472
2015-10-05,7.885,7.935,7.783,7.93,7427200,7.474
2015-10-02,7.961,8.004,7.558,7.721,17126800,7.277
2015-10-01,8.02,8.10,7.823,7.87,4207900,7.417
2015-09-30,7.885,7.99,7.835,7.964,5528800,7.506
2015-09-29,7.884,7.971,7.686,7.686,12754300,7.244
2015-09-28,8.103,8.198,7.95,7.96,3990500,7.502
2015-09-25,8.049,8.20,8.049,8.17,2906000,7.70
2015-09-24,8.09,8.101,7.789,7.852,3417300,7.40
2015-09-23,7.83,8.193,7.808,8.114,7794900,7.647
2015-09-22,8.23,8.254,7.817,7.819,6769800,7.369
2015-09-21,8.188,8.30,8.049,8.24,5407200,7.766
2015-09-18,8.25,8.287,8.115,8.231,6107600,7.758
2015-09-17,8.25,8.399,8.164,8.291,5615900,7.814
2015-09-16,8.18,8.245,8.144,8.24,6331000,7.766
2015-09-15,8.066,8.169,8.008,8.112,4639400,7.645
2015-09-14,8.019,8.105,7.988,8.04,2021100,7.578
2015-09-11,8.008,8.032,7.896,7.968,2110300,7.51
2015-09-10,7.862,8.053,7.813,7.994,3341000,7.534
2015-09-09,7.99,8.112,7.941,7.967,4576300,7.509
2015-09-08,7.74,7.965,7.725,7.823,4248200,7.373
2015-09-07,7.806,7.849,7.633,7.701,2525000,7.258
2015-09-04,7.622,7.857,7.586,7.73,4145600,7.285
2015-09-03,7.58,7.823,7.567,7.719,8027400,7.275
2015-09-02,7.25,7.431,7.156,7.40,3667700,6.974
2015-09-01,7.29,7.31,7.079,7.208,3986300,6.793
2015-08-31,7.338,7.492,7.31,7.439,2566500,7.011
2015-08-28,7.486,7.492,7.301,7.375,8182300,6.951
2015-08-27,7.46,7.54,7.368,7.466,6770400,7.037
2015-08-26,7.032,7.322,6.923,7.237,6351400,6.821
2015-08-25,6.84,7.175,6.788,7.121,5033300,6.711
2015-08-24,6.865,6.994,6.48,6.724,9825200,6.337
2015-08-21,7.25,7.379,7.078,7.092,4389000,6.684
2015-08-20,7.60,7.648,7.381,7.414,4333200,6.988
2015-08-19,7.758,7.791,7.627,7.648,5926100,7.208
2015-08-18,7.639,7.849,7.606,7.816,2360700,7.366
2015-08-17,7.759,7.79,7.51,7.65,2703100,7.21
2015-08-14,7.556,7.688,7.536,7.63,4637900,7.191
2015-08-13,7.521,7.618,7.47,7.526,3954200,7.093
2015-08-12,7.65,7.666,7.28,7.35,5500800,6.927
2015-08-11,7.86,7.863,7.74,7.74,5047900,7.295
2015-08-10,7.81,7.909,7.67,7.868,2091800,7.415
2015-08-07,7.778,7.80,7.714,7.763,7190200,7.317
2015-08-06,7.885,7.949,7.798,7.80,3640400,7.351
2015-08-05,7.846,7.945,7.81,7.92,5598100,7.465
2015-08-04,7.772,7.817,7.65,7.773,4276600,7.326
2015-08-03,7.61,7.885,7.55,7.847,2953400,7.396
2015-07-31,7.855,7.865,7.473,7.572,10129100,7.137
2015-07-30,7.843,7.903,7.676,7.741,7274200,7.296
2015-07-29,7.928,7.928,7.771,7.813,4093200,7.364
2015-07-28,7.827,7.914,7.758,7.858,5018000,7.406
2015-07-27,7.923,7.93,7.664,7.733,4106300,7.288
2015-07-24,8.13,8.19,7.939,7.966,8348200,7.508
2015-07-23,8.204,8.228,8.044,8.115,3108500,7.648
2015-07-22,7.957,8.159,7.878,8.159,3750900,7.69
2015-07-21,8.23,8.249,7.958,7.974,6367100,7.515
2015-07-20,8.20,8.26,8.152,8.198,5292700,7.727
2015-07-17,8.00,8.178,7.966,8.152,5720500,7.683
2015-07-16,7.90,7.995,7.89,7.989,5248100,7.53
2015-07-15,7.817,7.883,7.78,7.866,3104200,7.414
2015-07-14,7.788,7.835,7.665,7.801,9039400,7.352
2015-07-13,7.52,7.749,7.50,7.731,5685000,7.286
2015-07-10,7.39,7.42,7.262,7.369,6392000,6.945
2015-07-09,6.86,7.198,6.86,7.154,6140200,6.743
